use 1510 1699,,use 1700 1799,,use 1800 1899
complicate,0.022,lead,0.070,institute,0.036
surge,0.022,channel,0.070,equip,0.035
harry,0.022,cause,0.070,testify,0.035
lower,0.022,pick,0.070,shroud,0.035
cannon,0.022,anticipate,0.070,compliment,0.035
powder,0.022,train,0.070,creep,0.035
tell,0.022,bird,0.070,limit,0.035
kneel,0.022,keep,0.070,falter,0.035
flatten,0.022,bend,0.070,eagle,0.035
impress,0.022,stipulate,0.070,persevere,0.035
trademark,0.022,call,0.070,translate,0.035
dazzle,0.022,linger,0.070,blush,0.035
intercept,0.022,flag,0.070,initiate,0.035
get,0.022,stalk,0.070,endanger,0.035
melt,0.022,spare,0.070,report,0.035
justify,0.022,peer,0.070,ally,0.035
buck,0.022,roll,0.070,skirt,0.035
bolt,0.022,tuck,0.070,scheme,0.035
exist,0.021,form,0.070,spirit,0.035
seat,0.021,bet,0.070,illuminate,0.035
advantage,0.021,answer,0.070,suggest,0.034
block,0.021,star,0.070,pioneer,0.034
enlist,0.021,prepare,0.070,widen,0.034
convict,0.021,distress,0.070,leave,0.034
bury,0.021,ring,0.070,scour,0.034
progress,0.021,book,0.070,beam,0.034
steal,0.021,release,0.070,covet,0.034
spring,0.021,navigate,0.070,dive,0.034
imply,0.021,worst,0.070,ejaculate,0.034
assist,0.021,leave,0.070,export,0.034
head,0.021,damp,0.070,purify,0.034
hood,0.021,spread,0.070,surmise,0.034
clench,0.021,hurl,0.070,blind,0.034
flicker,0.021,mean,0.070,revolve,0.034
mind,0.021,lapse,0.070,calm,0.034
roll,0.021,pink,0.070,join,0.034
breast,0.021,blind,0.070,vest,0.034
scream,0.021,slat,0.070,cap,0.034
time,0.020,tax,0.070,isolate,0.034
flood,0.020,afford,0.070,starve,0.034
drown,0.020,like,0.070,ram,0.033
use,0.020,read,0.070,vault,0.033
continue,0.020,represent,0.070,irritate,0.033
court,0.020,fancy,0.070,finance,0.033
flog,0.020,substitute,0.069,bid,0.033
fry,0.020,presume,0.069,agree,0.033
divorce,0.020,perform,0.069,fling,0.033
offset,0.020,idle,0.069,harry,0.033
abandon,0.020,carve,0.069,protest,0.033
purify,0.020,trademark,0.069,deploy,0.033
course,0.020,entrance,0.069,patent,0.033
fashion,0.020,update,0.069,adore,0.033
confederate,0.020,pay,0.069,exhaust,0.033
rear,0.020,award,0.069,envy,0.033
finish,0.020,give,0.069,result,0.033
force,0.019,inform,0.069,instruct,0.033
flow,0.019,saddle,0.069,finish,0.033
deteriorate,0.019,guide,0.069,accelerate,0.033
perfect,0.019,hawk,0.069,mistake,0.033
seduce,0.019,coordinate,0.069,allow,0.033
plat,0.019,map,0.069,quarry,0.033
ball,0.019,age,0.069,diverge,0.033
cheek,0.019,regret,0.069,sacrifice,0.033
tone,0.019,purpose,0.069,ply,0.033
lamb,0.019,reason,0.069,guess,0.033
worship,0.019,alternate,0.069,kneel,0.032
vest,0.019,spell,0.069,promote,0.032
mud,0.019,lamb,0.069,acquire,0.032
grey,0.019,applaud,0.069,recite,0.032
give,0.019,marshal,0.069,reduce,0.032
reduce,0.019,close,0.069,deduce,0.032
jam,0.019,advance,0.069,deform,0.032
spy,0.019,bring,0.069,sweep,0.031
entrance,0.019,suggest,0.069,gore,0.031
alienate,0.019,fashion,0.069,stamp,0.031
trip,0.018,announce,0.069,interrupt,0.031
camp,0.018,act,0.069,overtake,0.031
scent,0.018,stir,0.069,die,0.031
coincide,0.018,maintain,0.069,borrow,0.031
slump,0.018,cannon,0.069,interfere,0.031
power,0.018,harden,0.069,rise,0.031
clash,0.018,deal,0.069,impregnate,0.031
repress,0.018,clap,0.069,sympathize,0.031
bear,0.018,crest,0.069,redeem,0.031
warn,0.018,excavate,0.069,crush,0.031
scramble,0.018,coach,0.068,govern,0.031
enchant,0.018,convert,0.068,fear,0.031
watch,0.018,sole,0.068,force,0.030
tip,0.018,charge,0.068,nod,0.030
consult,0.018,bottle,0.068,distract,0.030
intervene,0.018,order,0.068,mark,0.030
diverge,0.018,rain,0.068,pursue,0.030
shelter,0.017,horn,0.068,moonlight,0.030
offer,0.017,participate,0.068,equal,0.030
screen,0.017,flush,0.068,bolster,0.030
root,0.017,complete,0.068,thin,0.030
elicit,0.017,vary,0.068,fry,0.030
gate,0.017,gentle,0.068,chamber,0.030
beg,0.017,repudiate,0.068,glide,0.030
host,0.017,believe,0.068,advantage,0.030
vacate,0.017,cry,0.068,wive,0.030
benefit,0.017,bridge,0.068,wan,0.030
side,0.017,vault,0.068,repeat,0.030
raise,0.017,deepen,0.068,arch,0.030
face,0.017,request,0.068,pocket,0.029
speak,0.017,plat,0.068,damp,0.029
depart,0.017,cripple,0.068,swear,0.029
irritate,0.017,speculate,0.068,identify,0.029
discount,0.016,kill,0.068,flour,0.029
fancy,0.016,shock,0.068,brighten,0.029
neighbor,0.016,suspect,0.068,revenge,0.029
breakfast,0.016,sell,0.068,spear,0.029
claim,0.016,auction,0.068,lift,0.029
emancipate,0.016,abolish,0.068,fish,0.029
interrupt,0.016,verify,0.068,tone,0.029
deploy,0.016,teach,0.067,troop,0.029
smite,0.016,endorse,0.067,please,0.029
prepare,0.016,perpetuate,0.067,tail,0.029
alter,0.016,plan,0.067,accept,0.029
break,0.016,compliment,0.067,combine,0.029
exclude,0.016,rat,0.067,wade,0.028
scrap,0.016,contain,0.067,nurse,0.028
arrive,0.016,waste,0.067,execute,0.028
rally,0.016,burden,0.067,fowl,0.028
body,0.016,time,0.067,lengthen,0.028
process,0.016,overlook,0.067,grade,0.028
embroider,0.015,cast,0.067,avoid,0.028
accumulate,0.015,measure,0.067,stall,0.028
grass,0.015,favor,0.067,tame,0.028
bud,0.015,destroy,0.067,blast,0.028
plate,0.015,skin,0.067,indict,0.028
embark,0.015,chop,0.067,presume,0.028
addict,0.015,shift,0.067,command,0.028
observe,0.015,address,0.067,desire,0.028
promote,0.015,insure,0.067,soak,0.028
associate,0.015,admire,0.067,excuse,0.028
shove,0.015,key,0.067,enslave,0.028
strike,0.015,gamble,0.067,crave,0.028
speculate,0.015,manufacture,0.067,restrict,0.028
summon,0.015,mock,0.067,insert,0.028
clear,0.015,retrieve,0.067,eclipse,0.027
proof,0.015,shade,0.067,incite,0.027
grin,0.015,shield,0.067,cannon,0.027
career,0.015,come,0.067,tide,0.027
plan,0.015,flatten,0.067,highlight,0.027
chill,0.015,trap,0.067,characterize,0.027
clothe,0.015,direct,0.067,intensify,0.027
edit,0.015,concede,0.067,compass,0.027
hear,0.015,quarry,0.067,captain,0.027
lace,0.015,crash,0.067,invest,0.027
illuminate,0.015,foster,0.067,rob,0.027
build,0.015,gaze,0.067,harass,0.027
shill,0.015,mutilate,0.067,rag,0.027
loiter,0.015,tumble,0.067,menace,0.027
count,0.015,scramble,0.067,undergo,0.027
stay,0.015,stroll,0.067,mention,0.027
work,0.014,exist,0.067,squat,0.027
wade,0.014,slop,0.067,press,0.026
end,0.014,flare,0.067,poll,0.026
article,0.014,decrease,0.066,clothe,0.026
structure,0.014,loiter,0.066,hurt,0.026
retrieve,0.014,bear,0.066,char,0.026
tramp,0.014,loom,0.066,suffocate,0.026
account,0.014,dangle,0.066,enlighten,0.026
hat,0.014,accumulate,0.066,swim,0.026
cheer,0.014,confront,0.066,kidnap,0.026
make,0.014,bake,0.066,crop,0.026
correspond,0.014,row,0.066,crook,0.026
embarrass,0.013,resume,0.066,explode,0.025
feel,0.013,stick,0.066,remind,0.025
arm,0.013,ban,0.066,obtain,0.025
notice,0.013,beard,0.066,consolidate,0.025
brighten,0.013,poke,0.066,drill,0.025
crook,0.013,proof,0.066,revise,0.025
choke,0.013,retake,0.066,tolerate,0.025
try,0.013,slight,0.066,compound,0.025
accrue,0.013,block,0.066,salute,0.025
skirt,0.013,content,0.066,shatter,0.025
lean,0.013,bin,0.066,master,0.025
crew,0.013,land,0.066,rat,0.025
channel,0.013,experience,0.066,storm,0.025
shift,0.013,whitewash,0.066,halt,0.025
revise,0.013,knot,0.066,anger,0.025
queen,0.013,horse,0.066,brew,0.024
moonlight,0.013,talk,0.066,elect,0.024
impact,0.013,doctor,0.066,melt,0.024
stretch,0.013,yell,0.066,harden,0.024
earn,0.013,root,0.066,sour,0.024
collapse,0.013,court,0.066,speculate,0.024
investigate,0.013,sugar,0.066,convey,0.024
measure,0.013,reach,0.066,attack,0.024
echo,0.013,voice,0.066,empty,0.024
circle,0.013,abandon,0.066,iron,0.024
delineate,0.012,wander,0.066,resolve,0.024
occupy,0.012,search,0.066,ebb,0.024
discard,0.012,free,0.066,sober,0.024
happen,0.012,devastate,0.066,emigrate,0.024
fair,0.012,upgrade,0.066,persecute,0.023
arrange,0.012,lighten,0.066,relate,0.023
weather,0.012,smother,0.066,dazzle,0.023
lot,0.012,buck,0.066,animate,0.023
clap,0.012,realize,0.065,abuse,0.023
resemble,0.012,tackle,0.065,war,0.023
right,0.012,rattle,0.065,pray,0.023
demand,0.012,own,0.065,predict,0.023
tackle,0.012,say,0.065,idle,0.023
silence,0.012,assume,0.065,abstain,0.023
design,0.012,sew,0.065,revoke,0.023
travel,0.012,disarm,0.065,evolve,0.022
score,0.012,screw,0.065,vote,0.022
bother,0.012,accompany,0.065,abandon,0.022
disappoint,0.011,fetch,0.065,refer,0.022
forward,0.011,parade,0.065,scribe,0.022
frame,0.011,message,0.065,sack,0.022
respect,0.011,soldier,0.065,spy,0.022
control,0.011,fork,0.065,enlist,0.022
fox,0.011,shadow,0.065,wring,0.022
convert,0.011,irritate,0.065,flicker,0.022
cry,0.011,show,0.065,espouse,0.022
poison,0.011,reelect,0.065,behold,0.022
evolve,0.011,cluster,0.065,fire,0.022
enact,0.011,please,0.065,widow,0.022
deliver,0.011,pack,0.065,cry,0.022
condense,0.011,tie,0.065,doom,0.022
modify,0.011,feather,0.065,excavate,0.022
study,0.011,entail,0.065,behave,0.022
ring,0.011,flank,0.065,sentence,0.022
exploit,0.011,exclude,0.065,annex,0.022
caution,0.011,felt,0.065,gild,0.022
sack,0.011,permit,0.065,shriek,0.022
total,0.011,grade,0.065,discipline,0.021
gap,0.011,trim,0.064,lace,0.021
obtain,0.011,fret,0.064,stimulate,0.021
cluster,0.010,chuckle,0.064,sharpen,0.021
refuse,0.010,officiate,0.064,retake,0.021
invest,0.010,write,0.064,culminate,0.021
care,0.010,sign,0.064,brigade,0.021
disengage,0.010,choke,0.064,flap,0.021
realize,0.010,launch,0.064,complicate,0.021
cup,0.010,square,0.064,coil,0.021
tend,0.010,grate,0.064,reconcile,0.021
hawk,0.010,shore,0.064,ray,0.021
underlie,0.010,fill,0.064,remainder,0.021
huddle,0.009,dust,0.064,expand,0.021
hill,0.009,shrug,0.064,indent,0.020
aim,0.009,fall,0.064,favor,0.020
hedge,0.009,stamp,0.064,stir,0.020
cast,0.009,initiate,0.064,inform,0.020
overpower,0.009,process,0.064,fare,0.020
denote,0.009,blow,0.064,condense,0.020
loom,0.009,know,0.064,depress,0.020
range,0.009,press,0.064,hunt,0.020
settle,0.009,double,0.064,bleed,0.020
retake,0.009,displace,0.064,chant,0.019
finance,0.009,submerge,0.064,imprison,0.019
square,0.009,guarantee,0.064,grumble,0.019
upset,0.009,degrade,0.064,stray,0.019
loosen,0.009,test,0.064,abolish,0.019
star,0.009,consume,0.064,permit,0.019
perform,0.009,worry,0.064,kill,0.019
compromise,0.009,skip,0.064,decline,0.019
unload,0.009,shower,0.064,manufacture,0.019
shout,0.009,bite,0.064,approve,0.019
ejaculate,0.009,starve,0.064,sting,0.019
stunt,0.008,complain,0.064,chatter,0.019
degrade,0.008,embarrass,0.064,pry,0.019
carve,0.008,ship,0.064,tear,0.019
tin,0.008,wait,0.064,marshal,0.019
light,0.008,stun,0.064,hush,0.019
preclude,0.008,breathe,0.063,prick,0.019
field,0.008,tail,0.063,coal,0.019
blind,0.008,create,0.063,envelop,0.018
connect,0.008,make,0.063,inherit,0.018
develop,0.008,breakfast,0.063,ignore,0.018
contrast,0.008,hatch,0.063,wrong,0.018
braid,0.008,catch,0.063,waste,0.018
stimulate,0.008,consult,0.063,trot,0.018
traverse,0.008,quarter,0.063,port,0.018
soldier,0.008,ornament,0.063,pound,0.018
obliterate,0.008,descend,0.063,discover,0.018
stoke,0.008,rebuild,0.063,compare,0.018
boil,0.007,kneel,0.063,dominate,0.018
judge,0.007,deliver,0.063,slash,0.018
award,0.007,facilitate,0.063,molest,0.018
sign,0.007,brace,0.063,murder,0.018
send,0.007,construct,0.063,defend,0.017
doctor,0.007,smash,0.063,drench,0.017
eject,0.007,add,0.063,deposit,0.017
shadow,0.007,bank,0.063,flush,0.017
incline,0.007,equip,0.063,regiment,0.017
establish,0.007,thirst,0.063,amuse,0.017
worsen,0.007,dull,0.063,invade,0.017
prevent,0.007,clasp,0.063,fight,0.017
apply,0.007,total,0.063,roast,0.017
tail,0.007,indicate,0.063,respect,0.017
want,0.007,register,0.063,disarm,0.017
harass,0.007,stray,0.063,violate,0.017
ruin,0.007,guard,0.063,torture,0.017
boom,0.007,evade,0.063,empower,0.017
compensate,0.007,boat,0.063,cost,0.017
rebuild,0.007,volunteer,0.063,din,0.017
veil,0.007,skirt,0.063,liberate,0.016
spot,0.007,develop,0.063,mutilate,0.016
distract,0.006,serve,0.063,emancipate,0.016
calm,0.006,mind,0.063,lull,0.016
recite,0.006,enrage,0.062,refrain,0.016
enumerate,0.006,practice,0.062,blaze,0.016
skip,0.006,oppose,0.062,relapse,0.016
gear,0.006,warn,0.062,screw,0.016
style,0.006,silence,0.062,tack,0.016
pale,0.006,take,0.062,rustle,0.015
stab,0.006,refuse,0.062,argue,0.015
seem,0.006,weed,0.062,disengage,0.015
mill,0.006,list,0.062,burden,0.015
toy,0.006,confuse,0.062,dissipate,0.015
price,0.006,listen,0.062,abstract,0.015
reveal,0.006,approach,0.062,toll,0.015
survive,0.006,sun,0.062,lose,0.015
exhaust,0.005,chase,0.062,sustain,0.015
flame,0.005,beat,0.062,hawk,0.015
repair,0.005,correct,0.062,despair,0.015
qualify,0.005,saw,0.062,knit,0.015
advertise,0.005,stretch,0.062,taper,0.015
go,0.005,lounge,0.062,ache,0.015
eclipse,0.005,prize,0.062,soothe,0.015
surround,0.005,contrast,0.062,hammer,0.014
capture,0.005,cut,0.062,massacre,0.014
verify,0.005,jam,0.062,steal,0.014
scale,0.005,glow,0.062,persist,0.014
dangle,0.005,raise,0.062,chop,0.014
diffuse,0.005,puff,0.062,delegate,0.014
delegate,0.005,qualify,0.062,chronicle,0.014
consolidate,0.004,detail,0.062,dwindle,0.014
curl,0.004,watch,0.062,extract,0.014
castle,0.004,calm,0.062,dash,0.013
define,0.004,leap,0.062,powder,0.013
balance,0.004,trouble,0.062,tighten,0.013
flag,0.004,begin,0.062,bargain,0.013
assume,0.004,force,0.062,trace,0.013
hatch,0.004,fly,0.062,eject,0.013
battle,0.004,intersect,0.061,pace,0.013
rag,0.004,laugh,0.061,bury,0.013
reappear,0.004,rob,0.061,chime,0.013
provide,0.004,fry,0.061,glory,0.013
appear,0.004,get,0.061,disagree,0.013
coal,0.004,review,0.061,dam,0.013
message,0.004,crook,0.061,substitute,0.013
refund,0.004,cap,0.061,escort,0.013
mount,0.003,compound,0.061,circulate,0.013
web,0.003,crop,0.061,swallow,0.013
abstract,0.003,dive,0.061,frequent,0.013
deprecate,0.003,steam,0.061,edit,0.013
trigger,0.003,single,0.061,reward,0.013
fix,0.003,rent,0.061,dull,0.013
starve,0.003,range,0.061,lag,0.013
quote,0.003,finish,0.061,disband,0.013
bite,0.003,branch,0.061,trap,0.012
whitewash,0.003,print,0.061,usher,0.012
wall,0.003,pool,0.061,sin,0.012
protest,0.003,sense,0.061,refuse,0.011
drain,0.003,manage,0.061,compensate,0.011
satisfy,0.003,sack,0.061,emit,0.011
cut,0.002,describe,0.061,ban,0.011
certify,0.002,iron,0.061,grate,0.011
brown,0.002,continue,0.061,tin,0.011
institute,0.002,reflect,0.061,publish,0.011
hang,0.002,toy,0.061,flank,0.011
stamp,0.002,apply,0.061,interpret,0.011
rice,0.002,play,0.061,vacate,0.011
slat,0.002,surprise,0.061,repent,0.011
strangle,0.002,taste,0.061,commit,0.011
crowd,0.002,set,0.061,pour,0.011
gamble,0.002,tell,0.061,allege,0.011
irrigate,0.002,glare,0.061,ascend,0.011
mean,0.002,cat,0.061,destroy,0.010
tie,0.002,tap,0.061,linger,0.010
tire,0.002,congregate,0.060,prostrate,0.010
size,0.002,reinstate,0.060,absent,0.010
rustle,0.002,bark,0.060,flame,0.010
release,0.002,respond,0.060,sleep,0.010
insert,0.002,secure,0.060,howl,0.010
branch,0.002,reduce,0.060,confuse,0.010
back,0.002,freeze,0.060,reef,0.009
illustrate,0.002,dislike,0.060,foul,0.009
confront,0.002,battle,0.060,overturn,0.009
deepen,0.002,judge,0.060,corrupt,0.009
graduate,0.002,deafen,0.060,contend,0.009
note,0.002,duck,0.060,pant,0.009
chuckle,0.001,beam,0.060,retreat,0.009
content,0.001,limit,0.060,value,0.009
horn,0.001,wind,0.060,confederate,0.009
stoop,0.001,elicit,0.060,chap,0.009
beat,0.001,include,0.060,groan,0.009
suck,0.001,crowd,0.060,compromise,0.009
cloud,0.001,examine,0.060,tender,0.009
wake,0.001,web,0.060,smelt,0.009
wander,0.001,wade,0.060,whiten,0.008
shrink,0.001,diverge,0.060,recruit,0.008
ridge,0.001,institute,0.060,grudge,0.008
weed,0.001,treat,0.060,thrive,0.008
hoist,0.001,dye,0.060,struggle,0.008
relax,0.001,pertain,0.060,mine,0.008
beam,0.001,suck,0.060,discontent,0.008
test,0.001,succumb,0.060,stroke,0.008
trade,0.000,terrace,0.059,chafe,0.008
evade,0.000,empower,0.059,cat,0.008
ford,0.000,fruit,0.059,reside,0.007
signify,0.000,coal,0.059,clench,0.007
sprinkle,0.000,shake,0.059,exterminate,0.007
hunt,0.000,weather,0.059,fuse,0.007
applaud,0.000,choose,0.059,conceal,0.007
cart,-0.000,soak,0.059,slave,0.007
check,-0.000,article,0.059,curse,0.007
sparkle,-0.000,end,0.059,felt,0.007
bread,-0.000,go,0.059,overrule,0.007
slope,-0.000,speed,0.059,dismay,0.007
jump,-0.000,lick,0.059,bribe,0.007
update,-0.000,accommodate,0.059,spoil,0.006
crawl,-0.000,deteriorate,0.059,whip,0.006
number,-0.000,trickle,0.059,rebel,0.006
premier,-0.000,winter,0.059,clash,0.006
start,-0.000,hear,0.059,trickle,0.006
tree,-0.000,fish,0.059,injure,0.006
catch,-0.001,pride,0.059,bruise,0.006
crow,-0.001,work,0.059,reinforce,0.006
breed,-0.001,wrong,0.059,cleanse,0.006
result,-0.001,prefer,0.059,entangle,0.006
fill,-0.001,partake,0.058,flesh,0.006
crackle,-0.001,raid,0.058,seal,0.006
compound,-0.001,arch,0.058,gin,0.005
bush,-0.001,classify,0.058,trigger,0.005
tease,-0.001,pelt,0.058,mend,0.005
challenge,-0.001,chatter,0.058,understand,0.005
shield,-0.001,implement,0.058,wink,0.005
chase,-0.001,hurt,0.058,influence,0.005
grain,-0.001,reproduce,0.058,caress,0.005
volunteer,-0.001,negotiate,0.058,temper,0.005
feather,-0.001,want,0.058,pluck,0.004
draw,-0.001,ruin,0.058,welsh,0.004
pick,-0.001,ride,0.058,scorch,0.004
pull,-0.001,mount,0.058,strain,0.004
contest,-0.001,resemble,0.058,resent,0.004
express,-0.001,arm,0.058,dun,0.004
choose,-0.001,chew,0.058,grant,0.004
character,-0.001,league,0.058,scar,0.004
find,-0.001,cure,0.058,aggregate,0.003
swamp,-0.001,aggregate,0.058,bin,0.003
name,-0.002,defend,0.058,loosen,0.003
press,-0.002,cook,0.058,buoy,0.003
subdivide,-0.002,compromise,0.058,divide,0.003
stride,-0.002,jump,0.058,precipitate,0.003
overflow,-0.002,engage,0.058,elude,0.003
warm,-0.002,move,0.058,surrender,0.003
lick,-0.002,knit,0.058,choke,0.003
snake,-0.002,scratch,0.058,bang,0.003
flare,-0.002,avail,0.058,moon,0.003
attach,-0.003,paint,0.058,regulate,0.003
key,-0.003,race,0.058,bequeath,0.003
rent,-0.003,slump,0.058,pinch,0.003
receipt,-0.003,vote,0.058,impair,0.003
smother,-0.003,float,0.057,par,0.003
humiliate,-0.003,twin,0.057,impoverish,0.003
chair,-0.003,flame,0.057,lave,0.003
soak,-0.003,notice,0.057,beat,0.002
experience,-0.003,patch,0.057,even,0.002
kidnap,-0.003,cheek,0.057,baptize,0.002
stir,-0.003,rake,0.057,swamp,0.002
fowl,-0.003,blossom,0.057,restrain,0.002
intersect,-0.003,lease,0.057,bind,0.002
pocket,-0.003,steep,0.057,suffer,0.002
saturate,-0.003,eat,0.057,displace,0.002
wait,-0.003,carpet,0.057,battle,0.002
haul,-0.003,thread,0.057,dissent,0.002
mock,-0.003,decide,0.057,disturb,0.002
rejoin,-0.003,travel,0.057,concur,0.002
sound,-0.003,comfort,0.057,deprecate,0.002
cool,-0.003,market,0.057,devil,0.001
murder,-0.003,happen,0.057,disapprove,0.001
land,-0.003,summit,0.057,revive,0.001
dive,-0.004,express,0.057,strangle,0.001
air,-0.004,hide,0.057,tenant,0.001
totter,-0.004,shoot,0.057,miss,0.001
rid,-0.004,slow,0.057,lend,0.001
survey,-0.004,bread,0.057,accord,0.001
add,-0.004,issue,0.057,recount,0.001
run,-0.004,pump,0.057,succeed,0.001
stone,-0.004,embrace,0.057,plead,0.001
march,-0.004,tolerate,0.057,hoist,0.001
tune,-0.004,rescue,0.057,rhyme,0.001
stratify,-0.004,distract,0.057,vein,0.000
estimate,-0.004,busy,0.057,vent,0.000
include,-0.004,even,0.057,discourse,0.000
imagine,-0.004,decompose,0.056,forget,0.000
vault,-0.004,bleach,0.056,redden,0.000
report,-0.004,number,0.056,acknowledge,-0.000
trap,-0.004,fast,0.056,extort,-0.000
stable,-0.005,hop,0.056,dislike,-0.000
squat,-0.005,coast,0.056,thatch,-0.000
ripple,-0.005,wipe,0.056,insist,-0.000
act,-0.005,appear,0.056,plunder,-0.000
lap,-0.005,knock,0.056,stave,-0.000
sugar,-0.005,understand,0.056,contribute,-0.000
append,-0.005,curtain,0.056,furrow,-0.001
hold,-0.005,distance,0.056,rejoin,-0.001
cap,-0.005,put,0.056,forgive,-0.001
predict,-0.005,overflow,0.056,proceed,-0.001
ban,-0.005,relax,0.056,acquit,-0.001
breeze,-0.005,yellow,0.056,sicken,-0.001
nominate,-0.005,consolidate,0.056,consist,-0.001
fan,-0.005,haul,0.056,retard,-0.001
salt,-0.005,strip,0.056,sneer,-0.001
elbow,-0.005,try,0.056,retort,-0.001
pertain,-0.005,trade,0.056,append,-0.001
ask,-0.005,designate,0.056,vow,-0.001
calculate,-0.005,demolish,0.056,prosecute,-0.001
reef,-0.005,fringe,0.056,civilize,-0.001
respond,-0.005,identify,0.056,remit,-0.001
wine,-0.005,offer,0.056,yield,-0.001
coach,-0.005,board,0.056,spare,-0.002
request,-0.006,plant,0.056,salt,-0.002
glow,-0.006,breed,0.056,invoke,-0.002
climb,-0.006,tip,0.056,sole,-0.002
stall,-0.006,head,0.055,rout,-0.002
bag,-0.006,bowl,0.055,precede,-0.002
overshadow,-0.006,hat,0.055,refresh,-0.002
carry,-0.006,fair,0.055,rank,-0.002
leap,-0.006,bow,0.055,burst,-0.002
recline,-0.006,perfume,0.055,forfeit,-0.002
sip,-0.006,turn,0.055,reform,-0.002
accelerate,-0.006,hood,0.055,mingle,-0.002
revolve,-0.006,stock,0.055,accommodate,-0.002
rain,-0.006,swim,0.055,dictate,-0.002
own,-0.006,disgust,0.055,twinkle,-0.002
rack,-0.006,argue,0.055,settle,-0.002
decide,-0.006,deck,0.055,pervert,-0.003
middle,-0.006,withdraw,0.055,prefer,-0.003
gun,-0.006,power,0.055,infuse,-0.003
submerge,-0.007,access,0.055,fail,-0.003
lodge,-0.007,cave,0.055,delineate,-0.003
disable,-0.007,breeze,0.055,accrue,-0.003
discontinue,-0.007,buy,0.055,enhance,-0.003
wheel,-0.007,post,0.055,disorder,-0.003
taste,-0.007,madden,0.055,hum,-0.003
smile,-0.007,smooth,0.055,moderate,-0.003
excavate,-0.007,upset,0.055,spur,-0.003
glare,-0.007,milk,0.055,impede,-0.003
kick,-0.007,shave,0.055,acquaint,-0.003
parallel,-0.007,possess,0.055,expel,-0.003
object,-0.007,subdivide,0.055,rule,-0.003
spell,-0.007,produce,0.055,plat,-0.003
cement,-0.007,schedule,0.055,solicit,-0.003
throw,-0.007,allow,0.055,premier,-0.003
dip,-0.007,fell,0.055,boil,-0.004
boot,-0.008,compress,0.055,reprint,-0.004
train,-0.008,fight,0.055,verse,-0.004
shuffle,-0.008,plate,0.055,establish,-0.004
yellow,-0.008,lean,0.055,quiver,-0.004
reproduce,-0.008,exchange,0.055,sigh,-0.004
transfer,-0.008,disagree,0.055,advise,-0.004
hammer,-0.008,grass,0.054,soften,-0.004
premise,-0.008,highlight,0.054,cancel,-0.004
stream,-0.008,occasion,0.054,concede,-0.004
push,-0.008,sketch,0.054,shorten,-0.004
look,-0.008,caution,0.054,utter,-0.004
pet,-0.008,stable,0.054,frank,-0.005
bang,-0.008,foil,0.054,induce,-0.005
grate,-0.008,click,0.054,poise,-0.005
rail,-0.009,impact,0.054,laud,-0.005
close,-0.009,question,0.054,shout,-0.005
scratch,-0.009,file,0.054,compose,-0.005
thin,-0.009,brand,0.054,avert,-0.005
read,-0.009,station,0.054,lavish,-0.005
group,-0.009,man,0.054,ditto,-0.005
lecture,-0.009,second,0.054,expense,-0.005
concentrate,-0.009,appreciate,0.054,reclaim,-0.005
phrase,-0.009,sight,0.054,promise,-0.005
cram,-0.009,carry,0.054,suppose,-0.005
bronze,-0.009,break,0.054,indulge,-0.006
cancel,-0.009,advantage,0.054,delay,-0.006
scotch,-0.010,radiate,0.054,savage,-0.006
react,-0.010,hoist,0.054,define,-0.006
scan,-0.010,forward,0.054,tread,-0.006
round,-0.010,wall,0.054,assay,-0.006
show,-0.010,concert,0.053,infest,-0.006
strand,-0.010,communicate,0.053,shipwreck,-0.006
move,-0.010,unload,0.053,profit,-0.006
solve,-0.010,elbow,0.053,fasten,-0.006
sing,-0.010,rifle,0.053,constitute,-0.006
tow,-0.010,route,0.053,beset,-0.006
line,-0.010,challenge,0.053,deepen,-0.006
fence,-0.010,lock,0.053,pronounce,-0.007
dart,-0.010,rest,0.053,free,-0.007
snap,-0.010,sound,0.053,skirmish,-0.007
radiate,-0.010,hole,0.053,scotch,-0.007
pose,-0.010,thrash,0.053,deserve,-0.007
assess,-0.011,bask,0.053,punish,-0.007
spin,-0.011,pit,0.053,administer,-0.007
yell,-0.011,dim,0.053,decay,-0.007
patch,-0.011,design,0.053,sob,-0.007
race,-0.011,change,0.053,doubt,-0.007
shatter,-0.011,lay,0.053,reckon,-0.007
change,-0.011,brush,0.053,scourge,-0.007
puzzle,-0.011,lie,0.052,enumerate,-0.007
compress,-0.011,locate,0.052,heed,-0.007
splash,-0.011,ask,0.052,persuade,-0.007
nestle,-0.011,circle,0.052,mitigate,-0.008
rest,-0.011,field,0.052,shelve,-0.008
joke,-0.011,remove,0.052,bless,-0.008
lead,-0.012,coat,0.052,privilege,-0.008
pearl,-0.012,draw,0.052,prompt,-0.008
stop,-0.012,demonstrate,0.052,tremble,-0.008
live,-0.012,grip,0.052,hiss,-0.008
trail,-0.012,thin,0.052,reproach,-0.008
edge,-0.012,open,0.052,accuse,-0.008
bird,-0.012,seal,0.052,amend,-0.008
dye,-0.012,pain,0.052,poison,-0.008
adjust,-0.012,distribute,0.052,drown,-0.008
counter,-0.012,pause,0.052,diffuse,-0.008
spread,-0.012,lot,0.052,muffle,-0.008
down,-0.012,clerk,0.052,stagger,-0.009
pin,-0.012,gap,0.052,assign,-0.009
blue,-0.013,provide,0.052,surge,-0.009
