use 1800 1809,,use 1810 1819,,use 1820 1829,,use 1830 1839,,use 1840 1849,,use 1850 1859,,use 1860 1869,,use 1870 1879,,use 1880 1889,,use 1890 1899
certify,0.152,prefer,0.042,produce,0.049,resolve,0.096,imagine,0.024,slip,0.121,angle,0.106,hatch,-0.003,double,0.047,brim,0.024
spike,0.152,tan,0.042,loom,0.049,impede,0.096,stratify,0.024,win,0.121,desert,0.106,whirl,-0.003,enter,0.047,eject,0.024
submit,0.152,ply,0.042,splash,0.049,marry,0.096,allege,0.024,prolong,0.121,article,0.105,argue,-0.003,win,0.047,ray,0.024
lap,0.152,contract,0.042,plant,0.049,converse,0.096,rat,0.024,divorce,0.121,shelve,0.105,lurk,-0.003,ejaculate,0.047,retrieve,0.024
extinguish,0.152,canton,0.042,jump,0.049,howl,0.096,preside,0.024,soothe,0.120,enlighten,0.105,decorate,-0.003,buoy,0.047,acquaint,0.024
forbid,0.152,blame,0.042,light,0.049,condense,0.096,fashion,0.024,control,0.120,purpose,0.105,covet,-0.003,chuckle,0.047,chatter,0.024
conduct,0.152,bolt,0.042,respond,0.049,disturb,0.096,lurk,0.024,woo,0.120,shade,0.105,confide,-0.003,deal,0.047,banish,0.024
traverse,0.152,suppress,0.042,compliment,0.049,pry,0.096,wive,0.024,gag,0.120,invite,0.105,preserve,-0.003,blaze,0.046,rejoin,0.024
challenge,0.152,summon,0.041,grip,0.049,tend,0.096,charm,0.024,brew,0.120,habit,0.105,stone,-0.003,depart,0.046,insinuate,0.024
sequester,0.151,award,0.041,generate,0.049,average,0.096,suppress,0.024,desire,0.120,revert,0.105,pocket,-0.004,pertain,0.046,resume,0.024
silver,0.151,redouble,0.041,charge,0.049,soothe,0.096,mother,0.024,rig,0.120,glance,0.105,delight,-0.004,forbid,0.046,originate,0.024
defend,0.151,bark,0.041,boot,0.049,displace,0.096,plunder,0.024,crush,0.120,moon,0.105,impact,-0.004,learn,0.046,cleanse,0.024
braid,0.151,animate,0.041,bind,0.049,devour,0.096,enclose,0.024,attend,0.120,guide,0.105,stimulate,-0.004,manage,0.046,till,0.024
hat,0.151,illuminate,0.041,sketch,0.049,murder,0.096,chop,0.024,rebuild,0.120,patronize,0.105,allege,-0.004,insinuate,0.046,tat,0.024
find,0.151,head,0.041,include,0.049,rebel,0.096,rend,0.024,remind,0.120,add,0.105,wander,-0.004,flock,0.046,moderate,0.024
narrate,0.151,compel,0.041,revel,0.049,pace,0.096,contend,0.024,sting,0.120,deposit,0.105,insist,-0.004,disperse,0.046,experience,0.024
queen,0.151,blaze,0.041,commission,0.049,reef,0.095,enliven,0.024,troop,0.120,sober,0.105,reject,-0.004,rush,0.046,whitewash,0.024
manage,0.151,study,0.041,say,0.049,withdraw,0.095,bewilder,0.024,pay,0.120,compass,0.105,kidnap,-0.004,state,0.046,withdraw,0.024
hound,0.151,do,0.041,spread,0.049,trample,0.095,intercept,0.024,gate,0.120,disturb,0.104,disband,-0.004,ease,0.046,delay,0.024
lapse,0.151,discontent,0.041,cure,0.049,stud,0.095,drown,0.024,overhang,0.120,chop,0.104,starve,-0.004,molest,0.046,wish,0.024
visit,0.150,rally,0.041,knock,0.049,disapprove,0.095,extract,0.024,witness,0.119,aim,0.104,extract,-0.004,appeal,0.046,toll,0.024
note,0.150,dash,0.041,sound,0.049,thunder,0.095,render,0.024,silver,0.119,flutter,0.104,anticipate,-0.004,joke,0.046,stain,0.024
rise,0.150,transact,0.041,precipitate,0.049,double,0.095,storm,0.024,persecute,0.119,compliment,0.104,tie,-0.004,irritate,0.046,pocket,0.024
scheme,0.150,fort,0.041,cheer,0.049,discontinue,0.095,revolt,0.024,dilute,0.119,sour,0.104,educate,-0.004,harm,0.046,judge,0.024
prick,0.150,hiss,0.041,stuff,0.049,scar,0.095,surmount,0.023,rent,0.119,witness,0.104,prefer,-0.004,conflict,0.046,pool,0.024
revise,0.150,originate,0.041,tip,0.049,enslave,0.095,engender,0.023,desert,0.119,shanghai,0.104,represent,-0.004,debate,0.046,ache,0.024
comment,0.150,bow,0.041,want,0.049,imprison,0.095,recur,0.023,round,0.119,dream,0.104,hop,-0.004,tone,0.046,rub,0.024
dawn,0.150,reign,0.041,shed,0.049,satisfy,0.095,expose,0.023,pause,0.119,enter,0.104,chair,-0.004,bleed,0.046,shuffle,0.024
habit,0.150,scotch,0.041,impress,0.049,designate,0.095,impute,0.023,proof,0.118,dash,0.104,own,-0.004,attend,0.046,imply,0.024
grow,0.150,rebel,0.041,mature,0.049,imply,0.095,tempt,0.023,curse,0.118,foam,0.104,retrieve,-0.004,create,0.046,rain,0.024
alarm,0.150,stem,0.041,perform,0.049,peer,0.095,field,0.023,submerge,0.118,contrast,0.104,excuse,-0.004,price,0.046,serve,0.024
venture,0.150,propagate,0.041,praise,0.049,hollow,0.095,thrust,0.023,arrive,0.118,pound,0.104,occasion,-0.004,confirm,0.046,size,0.024
hood,0.150,echo,0.041,flash,0.048,burden,0.094,abstract,0.023,file,0.118,expel,0.104,bleed,-0.004,taper,0.046,claim,0.024
lose,0.150,disturb,0.041,rail,0.048,belong,0.094,illustrate,0.023,bolt,0.118,record,0.104,shine,-0.004,howl,0.046,church,0.024
complicate,0.150,deprecate,0.041,operate,0.048,speculate,0.094,guard,0.023,arouse,0.118,mass,0.104,roll,-0.004,perpetuate,0.046,sail,0.024
survive,0.149,ferry,0.041,pluck,0.048,crumble,0.094,elude,0.023,queen,0.118,welcome,0.104,catch,-0.004,reduce,0.046,decide,0.023
institute,0.149,ram,0.041,garden,0.048,bud,0.094,obstruct,0.023,revive,0.118,crackle,0.103,hail,-0.004,lodge,0.046,care,0.023
imagine,0.149,thrill,0.041,lord,0.048,key,0.094,age,0.023,conquer,0.118,saddle,0.103,suggest,-0.004,overturn,0.046,prostrate,0.023
whip,0.149,beget,0.041,laugh,0.048,act,0.094,slave,0.023,shoot,0.118,bolt,0.103,stem,-0.004,incite,0.046,bowl,0.023
attest,0.149,humble,0.041,profit,0.048,second,0.094,welcome,0.023,petition,0.117,salt,0.103,hunt,-0.004,dazzle,0.046,anticipate,0.023
accommodate,0.149,sprinkle,0.041,scout,0.048,brown,0.094,seethe,0.023,sling,0.117,peep,0.103,cultivate,-0.005,premier,0.046,discover,0.023
concede,0.149,vow,0.041,discipline,0.048,queen,0.094,adjoin,0.023,baffle,0.117,strain,0.103,till,-0.005,stud,0.046,pursue,0.023
brown,0.149,poise,0.041,reference,0.048,cap,0.094,inscribe,0.023,shock,0.117,emancipate,0.103,confederate,-0.005,power,0.046,cripple,0.023
entitle,0.149,highlight,0.041,counter,0.048,revert,0.094,poke,0.023,debate,0.117,master,0.103,behold,-0.005,iron,0.046,fork,0.023
troop,0.149,reek,0.041,sail,0.048,repent,0.094,silver,0.023,polish,0.117,infest,0.103,char,-0.005,call,0.046,rule,0.023
issue,0.149,murder,0.040,meddle,0.048,identify,0.094,govern,0.023,alter,0.117,recite,0.103,subscribe,-0.005,coach,0.046,order,0.023
recite,0.149,read,0.040,handwrite,0.048,officiate,0.094,scend,0.023,accelerate,0.117,rival,0.103,knot,-0.005,bud,0.046,dominate,0.023
deter,0.149,amount,0.040,bay,0.048,avail,0.093,deafen,0.023,knit,0.117,muster,0.103,strangle,-0.005,habit,0.046,pound,0.023
define,0.149,bellow,0.040,wade,0.048,state,0.093,daunt,0.023,flush,0.117,anchor,0.103,surpass,-0.005,complete,0.046,thrash,0.023
associate,0.148,land,0.040,thrive,0.048,rake,0.093,oppress,0.023,addict,0.116,marshal,0.103,cheat,-0.005,find,0.046,fathom,0.023
profit,0.148,stalk,0.040,scorch,0.048,achieve,0.093,abate,0.023,hay,0.116,content,0.103,reflect,-0.005,enlarge,0.046,sting,0.023
summit,0.148,back,0.040,pry,0.048,accelerate,0.093,ennoble,0.023,injure,0.116,cripple,0.102,supplant,-0.005,forfeit,0.045,isolate,0.023
wade,0.148,rice,0.040,devise,0.048,revoke,0.093,forbear,0.023,honor,0.116,detect,0.102,water,-0.005,trigger,0.045,shipwreck,0.023
result,0.148,propel,0.040,wind,0.048,stagger,0.093,martyr,0.023,fowl,0.116,investigate,0.102,evacuate,-0.005,dare,0.045,absent,0.023
hear,0.148,name,0.040,coast,0.048,lurk,0.093,weigh,0.023,intend,0.116,court,0.102,test,-0.005,reward,0.045,melt,0.023
achieve,0.148,blind,0.040,unveil,0.048,revel,0.093,heed,0.023,bequeath,0.116,cap,0.102,bid,-0.005,worship,0.045,book,0.023
jam,0.148,facilitate,0.040,focus,0.048,free,0.093,concentrate,0.023,revise,0.116,demonstrate,0.102,usher,-0.005,coin,0.045,chap,0.023
tax,0.148,ask,0.040,seem,0.048,plot,0.093,splash,0.023,become,0.116,hint,0.102,shill,-0.005,harden,0.045,exhaust,0.023
embarrass,0.148,create,0.040,cancel,0.048,impeach,0.093,culminate,0.023,earn,0.116,follow,0.102,people,-0.005,roast,0.045,vault,0.023
convict,0.147,manage,0.040,addict,0.048,bronze,0.093,cook,0.023,brace,0.116,grate,0.102,explore,-0.005,lot,0.045,grey,0.023
lead,0.147,amend,0.040,die,0.048,overrun,0.093,breeze,0.023,damage,0.115,listen,0.102,saw,-0.005,use,0.045,mine,0.023
imitate,0.147,circulate,0.040,paddle,0.048,contrast,0.093,career,0.023,multiply,0.115,channel,0.102,bang,-0.005,guard,0.045,live,0.023
detail,0.147,magnify,0.040,assign,0.048,hold,0.093,sanction,0.023,trot,0.115,file,0.102,pray,-0.005,shock,0.045,delegate,0.023
pant,0.147,cleave,0.040,stave,0.048,tuck,0.093,assent,0.023,bleach,0.115,comment,0.102,capture,-0.005,decline,0.045,crush,0.023
prowl,0.146,consult,0.040,winter,0.048,command,0.093,slacken,0.023,deal,0.115,finance,0.102,stud,-0.005,fight,0.045,retake,0.023
ram,0.146,boom,0.040,plunge,0.048,gentle,0.093,baffle,0.023,peep,0.115,limp,0.102,volunteer,-0.005,patronize,0.045,note,0.023
retrieve,0.146,sow,0.040,raise,0.048,sustain,0.092,acquaint,0.023,cotton,0.115,enlist,0.102,glory,-0.005,offset,0.045,baffle,0.023
ascend,0.146,strike,0.040,turn,0.048,cord,0.092,unfold,0.023,confirm,0.115,forecast,0.102,concern,-0.005,endear,0.045,watch,0.023
insure,0.146,shock,0.040,envy,0.048,sober,0.092,secure,0.023,generate,0.115,bowl,0.102,assassinate,-0.005,intrigue,0.045,accommodate,0.023
fair,0.146,equal,0.039,expel,0.048,raid,0.092,commit,0.023,spirit,0.114,hay,0.102,advance,-0.005,circle,0.045,postpone,0.023
alternate,0.145,picture,0.039,crouch,0.048,reelect,0.092,show,0.023,expand,0.114,wade,0.102,debate,-0.005,star,0.045,awe,0.023
enlighten,0.145,chuckle,0.039,exploit,0.047,consolidate,0.092,mortify,0.023,propagate,0.114,visit,0.102,hire,-0.005,hunt,0.045,lurk,0.023
purpose,0.145,delay,0.039,resist,0.047,cross,0.092,sojourn,0.023,accept,0.114,cotton,0.102,spill,-0.005,muffle,0.045,flame,0.023
back,0.145,fashion,0.039,tongue,0.047,lengthen,0.092,correspond,0.023,brief,0.114,rejoin,0.102,cling,-0.006,tend,0.045,carry,0.023
content,0.145,hat,0.039,hunt,0.047,marshal,0.092,gate,0.023,verify,0.114,prove,0.102,leap,-0.006,reinstate,0.045,concern,0.023
liberate,0.145,postpone,0.039,express,0.047,fox,0.092,embattle,0.023,beg,0.114,enslave,0.102,sole,-0.006,sing,0.045,commemorate,0.023
exclude,0.145,inspect,0.039,sharpen,0.047,eagle,0.092,keep,0.023,spy,0.114,subordinate,0.102,contend,-0.006,reach,0.045,crest,0.023
uncover,0.145,ache,0.039,care,0.047,tat,0.092,promise,0.023,mother,0.114,report,0.102,oppress,-0.006,diverge,0.045,fluctuate,0.023
screen,0.145,contradict,0.039,enlist,0.047,bribe,0.092,rank,0.023,grope,0.114,fare,0.101,intrigue,-0.006,glaze,0.045,exterminate,0.023
access,0.145,decrease,0.039,assist,0.047,ascend,0.092,afflict,0.023,invoke,0.114,veil,0.101,character,-0.006,reprint,0.045,go,0.023
belong,0.144,skirt,0.039,smooth,0.047,secure,0.092,polish,0.022,preach,0.114,shill,0.101,prejudice,-0.006,compensate,0.045,buck,0.023
provide,0.144,trip,0.039,happen,0.047,fret,0.092,excite,0.022,tide,0.114,stride,0.101,stratify,-0.006,score,0.045,buy,0.023
notice,0.144,review,0.039,elect,0.047,anticipate,0.092,deem,0.022,message,0.113,include,0.101,cluster,-0.006,revenge,0.045,discipline,0.023
bellow,0.144,dart,0.039,gate,0.047,possess,0.092,promulgate,0.022,retort,0.113,overshadow,0.101,incorporate,-0.006,stride,0.045,bolster,0.023
parallel,0.144,arrive,0.039,slop,0.047,work,0.092,ransom,0.022,pass,0.113,nestle,0.101,auction,-0.006,transpire,0.045,apply,0.023
grin,0.144,article,0.039,help,0.047,debate,0.092,encroach,0.022,step,0.113,authorize,0.101,recess,-0.006,blast,0.044,devil,0.022
guide,0.144,saddle,0.039,cause,0.047,preach,0.092,result,0.022,sentence,0.113,save,0.101,jump,-0.006,know,0.044,chair,0.022
behave,0.144,count,0.039,warehouse,0.047,flutter,0.092,ail,0.022,spend,0.113,quote,0.101,shock,-0.006,card,0.044,relapse,0.022
match,0.144,indict,0.039,discontinue,0.047,lease,0.091,grey,0.022,overshadow,0.113,confirm,0.101,extinguish,-0.006,satisfy,0.044,extend,0.022
gild,0.144,alternate,0.039,soldier,0.047,grumble,0.091,debase,0.022,note,0.112,fret,0.101,witness,-0.006,toll,0.044,complain,0.022
cast,0.144,burst,0.039,click,0.047,manage,0.091,cram,0.022,devastate,0.112,bob,0.101,dress,-0.006,hush,0.044,jam,0.022
coordinate,0.144,comply,0.039,sin,0.047,bolster,0.091,rub,0.022,design,0.112,elude,0.101,excavate,-0.006,deepen,0.044,digest,0.022
celebrate,0.144,tear,0.039,surge,0.047,forbid,0.091,blood,0.022,lead,0.112,bring,0.100,crackle,-0.006,feast,0.044,lay,0.022
beam,0.144,shoulder,0.038,bow,0.047,mock,0.091,evade,0.022,revoke,0.112,refinance,0.100,mangle,-0.006,associate,0.044,intend,0.022
hope,0.143,envelop,0.038,silence,0.047,prefer,0.091,doom,0.022,spear,0.112,dot,0.100,shadow,-0.006,believe,0.044,revolt,0.022
verify,0.143,endear,0.038,ache,0.047,invoke,0.091,exploit,0.022,shift,0.112,boost,0.100,mark,-0.006,spike,0.044,instruct,0.022
reproduce,0.143,bristle,0.038,guess,0.047,participate,0.091,hire,0.022,keep,0.112,host,0.100,possess,-0.006,scramble,0.044,track,0.022
clear,0.143,express,0.038,live,0.047,divorce,0.091,incur,0.022,crumble,0.112,know,0.100,cut,-0.006,exert,0.044,compensate,0.022
surrender,0.143,advertise,0.038,initiate,0.047,transfer,0.091,regret,0.022,cast,0.112,bruise,0.100,vein,-0.006,interest,0.044,conspire,0.022
spare,0.143,defy,0.038,transact,0.047,explore,0.091,scheme,0.022,bruise,0.112,search,0.100,value,-0.006,speak,0.044,put,0.022
predict,0.143,administer,0.038,transfer,0.047,speak,0.091,lecture,0.022,pop,0.111,scrap,0.100,swim,-0.006,locate,0.044,alter,0.022
head,0.143,permit,0.038,desire,0.047,reclaim,0.091,descry,0.022,mark,0.111,tune,0.100,blue,-0.007,doctor,0.044,increase,0.022
career,0.143,squat,0.038,shoulder,0.047,wring,0.091,grumble,0.022,key,0.111,explode,0.100,pry,-0.007,dwindle,0.044,ship,0.022
madden,0.143,bay,0.038,migrate,0.047,ram,0.091,perpetrate,0.022,execute,0.111,persecute,0.100,shade,-0.007,listen,0.044,fit,0.022
depart,0.143,boot,0.038,frame,0.047,educate,0.091,name,0.022,approve,0.111,connect,0.099,thatch,-0.007,appropriate,0.044,impregnate,0.022
seem,0.142,spring,0.038,fare,0.047,tap,0.091,elate,0.022,felt,0.111,counter,0.099,occupy,-0.007,conspire,0.044,aim,0.022
enlist,0.142,teach,0.038,promise,0.047,handle,0.091,snap,0.022,issue,0.111,shoot,0.099,sip,-0.007,mill,0.044,gamble,0.022
ally,0.142,mount,0.038,appreciate,0.047,correct,0.091,proclaim,0.022,ally,0.111,top,0.099,forbid,-0.007,beat,0.044,accompany,0.022
average,0.142,speculate,0.038,absent,0.046,tell,0.091,pin,0.022,foul,0.111,put,0.099,level,-0.007,subside,0.044,confirm,0.022
endeavor,0.142,rule,0.038,disclose,0.046,call,0.090,publish,0.022,purpose,0.111,prize,0.099,keep,-0.007,saddle,0.044,imitate,0.022
infest,0.142,err,0.038,sing,0.046,discard,0.090,enjoin,0.022,sell,0.111,soldier,0.099,tow,-0.007,impress,0.044,infuse,0.022
encourage,0.142,bell,0.038,dart,0.046,export,0.090,interpose,0.022,glory,0.111,devil,0.099,induce,-0.007,top,0.044,account,0.022
shift,0.142,hook,0.038,spur,0.046,blockade,0.090,seal,0.022,rice,0.110,buck,0.099,reopen,-0.007,act,0.044,notice,0.022
sting,0.142,gratify,0.038,steamer,0.046,express,0.090,convulse,0.022,regulate,0.110,retake,0.099,proclaim,-0.007,well,0.044,mend,0.022
culminate,0.142,devote,0.038,vest,0.046,disengage,0.090,prick,0.022,castle,0.110,wish,0.099,propose,-0.007,digest,0.044,shiver,0.022
accumulate,0.142,sole,0.038,proof,0.046,pride,0.090,plunge,0.022,print,0.110,storm,0.099,idle,-0.007,blood,0.044,proceed,0.022
presume,0.142,busy,0.038,roll,0.046,deal,0.090,possess,0.022,patronize,0.110,charge,0.099,camp,-0.007,assume,0.044,shove,0.022
contradict,0.142,scour,0.038,tan,0.046,block,0.090,flesh,0.022,bark,0.110,rail,0.099,age,-0.007,equip,0.044,receipt,0.022
disapprove,0.142,second,0.038,clear,0.046,adopt,0.090,judge,0.022,establish,0.110,tear,0.099,alarm,-0.007,withhold,0.044,whip,0.022
tour,0.142,bud,0.038,complete,0.046,lag,0.090,disarm,0.022,fold,0.110,raid,0.099,fall,-0.007,bellow,0.044,plate,0.022
sin,0.141,station,0.038,measure,0.046,overflow,0.090,heighten,0.022,rustle,0.110,burden,0.099,milk,-0.007,occasion,0.044,cheat,0.022
detect,0.141,listen,0.038,eliminate,0.046,knight,0.090,avow,0.022,dine,0.110,capture,0.099,win,-0.007,overrule,0.043,deepen,0.022
rejoin,0.141,clothe,0.038,wink,0.046,drench,0.090,subside,0.022,hire,0.109,pursue,0.098,choke,-0.007,fill,0.043,dignify,0.022
concern,0.141,rattle,0.038,whiten,0.046,press,0.090,appoint,0.022,devil,0.109,fear,0.098,brew,-0.007,boot,0.043,restrain,0.022
nurse,0.141,multiply,0.038,involve,0.046,say,0.090,droop,0.022,endorse,0.109,boot,0.098,ford,-0.007,stab,0.043,troop,0.022
dangle,0.141,make,0.038,control,0.046,anger,0.090,resign,0.022,prick,0.109,describe,0.098,shame,-0.007,awe,0.043,hint,0.022
skin,0.141,foster,0.038,strew,0.046,issue,0.090,expel,0.022,post,0.109,sing,0.098,regret,-0.007,accompany,0.043,exert,0.022
compliment,0.141,breed,0.038,bother,0.046,rail,0.090,grapple,0.022,compensate,0.109,dull,0.098,apply,-0.007,grow,0.043,approach,0.022
marshal,0.141,allege,0.038,imitate,0.046,abuse,0.090,lead,0.022,oppress,0.109,molest,0.098,thread,-0.007,narrate,0.043,sober,0.022
surprise,0.141,tighten,0.038,castle,0.046,open,0.090,freight,0.022,retire,0.109,squat,0.098,explode,-0.007,wan,0.043,hawk,0.022
invest,0.141,harry,0.037,chatter,0.046,stride,0.090,trickle,0.022,lick,0.109,double,0.098,breeze,-0.007,peep,0.043,observe,0.022
strike,0.141,tat,0.037,bottle,0.046,roll,0.090,dilate,0.022,hawk,0.108,handle,0.098,tax,-0.007,assign,0.043,shatter,0.022
speculate,0.141,lodge,0.037,throne,0.046,allow,0.090,plaster,0.022,vote,0.108,depress,0.098,trade,-0.007,expel,0.043,coil,0.022
occasion,0.141,lot,0.037,dominate,0.046,touch,0.090,furrow,0.022,habit,0.108,stud,0.098,pile,-0.007,japan,0.043,moon,0.022
entangle,0.141,enchant,0.037,acquire,0.046,sour,0.090,stimulate,0.022,gravel,0.108,mutilate,0.098,bear,-0.007,key,0.043,bud,0.022
send,0.140,address,0.037,precede,0.046,model,0.089,subjoin,0.022,chime,0.108,lace,0.098,land,-0.007,dignify,0.043,weather,0.022
pearl,0.140,precipitate,0.037,slave,0.046,shell,0.089,repent,0.022,gamble,0.108,snatch,0.098,accompany,-0.007,award,0.043,wear,0.022
take,0.140,cheer,0.037,urge,0.046,vary,0.089,emanate,0.021,announce,0.108,deteriorate,0.098,burn,-0.007,explain,0.043,hoist,0.022
yawn,0.140,stagger,0.037,construct,0.046,entangle,0.089,weaken,0.021,amaze,0.108,sling,0.098,tumble,-0.008,restructure,0.043,smash,0.022
strangle,0.140,tie,0.037,mourn,0.046,glory,0.089,inaugurate,0.021,strike,0.108,alarm,0.097,hammer,-0.008,comfort,0.043,delight,0.022
mother,0.140,light,0.037,threaten,0.046,league,0.089,web,0.021,lap,0.108,surrender,0.097,project,-0.008,ram,0.043,reprint,0.022
wake,0.140,pack,0.037,incline,0.046,wax,0.089,mourn,0.021,build,0.108,borrow,0.097,cough,-0.008,own,0.043,reveal,0.022
salt,0.140,char,0.037,fell,0.046,draft,0.089,grow,0.021,address,0.108,pierce,0.097,notice,-0.008,copper,0.043,stud,0.022
pocket,0.140,tempt,0.037,bark,0.046,subject,0.089,elapse,0.021,well,0.108,alternate,0.097,interpret,-0.008,invade,0.043,tame,0.022
reflect,0.140,release,0.037,resolve,0.046,annoy,0.089,lounge,0.021,bet,0.108,ripple,0.097,skin,-0.008,pick,0.043,spoil,0.021
bay,0.140,adopt,0.037,stone,0.046,register,0.089,demolish,0.021,resolve,0.108,bury,0.097,overrule,-0.008,idle,0.043,love,0.021
smash,0.140,heap,0.037,string,0.046,cough,0.089,receive,0.021,sip,0.107,exist,0.097,levy,-0.008,instruct,0.043,beach,0.021
cool,0.140,snap,0.037,hear,0.046,permit,0.089,bribe,0.021,bang,0.107,mock,0.097,swallow,-0.008,condition,0.043,rattle,0.021
incorporate,0.139,disengage,0.037,hint,0.046,unload,0.089,dedicate,0.021,discipline,0.107,adopt,0.097,coat,-0.008,wend,0.043,crouch,0.021
oppose,0.139,chap,0.037,rob,0.045,engrave,0.089,elbow,0.021,contest,0.107,lounge,0.097,reduce,-0.008,service,0.043,denote,0.021
flare,0.139,single,0.037,appeal,0.045,skirt,0.089,remonstrate,0.021,scourge,0.107,promote,0.097,beach,-0.008,defend,0.043,join,0.021
mature,0.139,hoist,0.037,kneel,0.045,complain,0.089,contemplate,0.021,preclude,0.107,shoulder,0.097,concede,-0.008,accept,0.043,equip,0.021
reassure,0.139,conform,0.037,gore,0.045,slop,0.089,crow,0.021,embark,0.107,fire,0.096,taste,-0.008,end,0.043,reflect,0.021
race,0.139,spend,0.037,plate,0.045,file,0.089,exult,0.021,cut,0.107,delay,0.096,kneel,-0.008,receipt,0.043,verify,0.021
mean,0.139,shout,0.037,ray,0.045,injure,0.089,tin,0.021,make,0.107,fuel,0.096,order,-0.008,reopen,0.043,salt,0.021
imply,0.139,dilate,0.037,bellow,0.045,splash,0.089,brood,0.021,buck,0.106,polish,0.096,pride,-0.008,concert,0.043,bridge,0.021
preserve,0.139,wive,0.037,process,0.045,curl,0.089,berth,0.021,brown,0.106,convene,0.096,disperse,-0.008,heighten,0.043,enumerate,0.021
rag,0.139,slide,0.037,salt,0.045,haunt,0.089,scatter,0.021,close,0.106,reject,0.096,trust,-0.009,glance,0.043,free,0.021
graze,0.139,edit,0.037,blind,0.045,welcome,0.088,accede,0.021,drill,0.106,spread,0.096,piece,-0.009,welcome,0.043,propagate,0.021
skirt,0.139,crowd,0.037,hit,0.045,dine,0.088,prospect,0.021,totter,0.106,reopen,0.096,reek,-0.009,weave,0.043,mourn,0.021
dart,0.138,occasion,0.037,radiate,0.045,ray,0.088,puff,0.021,lay,0.106,mother,0.096,overflow,-0.009,root,0.043,fling,0.021
cloud,0.138,lecture,0.037,yellow,0.045,deduce,0.088,burst,0.021,march,0.106,love,0.096,stand,-0.009,contract,0.043,deprecate,0.021
welcome,0.138,assay,0.037,stunt,0.045,scramble,0.088,supplant,0.021,fathom,0.106,accompany,0.096,beard,-0.009,announce,0.043,revoke,0.021
pelt,0.138,charter,0.037,bleach,0.045,bread,0.088,recede,0.021,stimulate,0.106,call,0.096,gate,-0.009,receive,0.043,edit,0.021
boost,0.138,warm,0.036,evaporate,0.045,chamber,0.088,preach,0.021,seal,0.106,institute,0.096,vest,-0.009,share,0.043,practice,0.021
change,0.138,rear,0.036,yield,0.045,dun,0.088,establish,0.021,exemplify,0.105,total,0.096,compare,-0.009,contain,0.043,voice,0.021
rename,0.138,intercept,0.036,earn,0.045,price,0.088,vein,0.021,complain,0.105,participate,0.096,can,-0.009,deter,0.043,indicate,0.021
round,0.138,hawk,0.036,give,0.045,arrive,0.088,compose,0.021,sugar,0.105,invest,0.096,read,-0.009,please,0.043,ferry,0.021
designate,0.138,date,0.036,bag,0.045,unfold,0.088,stick,0.021,lodge,0.105,carpet,0.096,mix,-0.009,summit,0.043,prowl,0.021
compete,0.138,strew,0.036,sparkle,0.045,explain,0.088,annoy,0.021,wall,0.105,confront,0.096,wade,-0.009,retake,0.043,prejudice,0.021
blockade,0.138,size,0.036,obtain,0.045,lock,0.088,increase,0.021,submit,0.105,offset,0.096,cat,-0.009,come,0.043,pale,0.021
slip,0.138,draft,0.036,bottom,0.045,guarantee,0.088,shoot,0.021,uncover,0.105,resume,0.096,terrify,-0.009,traverse,0.043,endow,0.021
bin,0.138,confide,0.036,command,0.045,master,0.088,request,0.021,man,0.105,warn,0.096,fowl,-0.009,dull,0.042,covet,0.021
hamper,0.138,halt,0.036,bed,0.045,stoke,0.087,dawn,0.021,kneel,0.105,certify,0.096,brood,-0.009,read,0.042,argue,0.021
foul,0.138,spot,0.036,prevent,0.045,throne,0.087,claim,0.021,perch,0.105,grip,0.096,climb,-0.009,solicit,0.042,clerk,0.021
step,0.138,delegate,0.036,pose,0.045,take,0.087,languish,0.021,dig,0.105,bid,0.096,teach,-0.009,supply,0.042,assassinate,0.021
damage,0.138,average,0.036,hope,0.045,connect,0.087,conceal,0.021,receipt,0.104,shave,0.096,engrave,-0.009,row,0.042,arrive,0.021
charm,0.137,harden,0.036,wish,0.045,crow,0.087,echo,0.021,scratch,0.104,disband,0.096,share,-0.009,hammer,0.042,respect,0.021
lull,0.137,ripple,0.036,disturb,0.045,hole,0.087,wrestle,0.021,get,0.104,distribute,0.096,cool,-0.009,hawk,0.042,flog,0.021
minister,0.137,carpet,0.036,cock,0.045,flap,0.087,rustle,0.021,boat,0.104,disarm,0.096,amaze,-0.009,impede,0.042,overpower,0.021
accrue,0.137,intensify,0.036,stalk,0.045,denote,0.087,inculcate,0.021,reopen,0.104,injure,0.096,top,-0.009,prosecute,0.042,abhor,0.021
correct,0.137,float,0.036,conquer,0.045,magnify,0.087,stagger,0.021,blame,0.104,enjoy,0.096,forfeit,-0.009,ply,0.042,shell,0.021
impair,0.137,number,0.036,prompt,0.045,depress,0.087,peep,0.021,pearl,0.104,hope,0.096,manage,-0.009,accumulate,0.042,choke,0.021
alienate,0.137,tend,0.036,overshadow,0.045,quote,0.087,lock,0.021,transfer,0.104,deliver,0.095,course,-0.009,transmit,0.042,tease,0.021
forward,0.137,settle,0.036,par,0.045,arch,0.087,withhold,0.021,recover,0.104,wax,0.095,braid,-0.009,mislead,0.042,mitigate,0.021
set,0.137,pick,0.036,induce,0.045,mangle,0.087,cost,0.021,shrink,0.104,refer,0.095,page,-0.009,partake,0.042,fowl,0.021
message,0.137,flesh,0.036,worry,0.045,round,0.087,practice,0.021,flank,0.104,keep,0.095,hound,-0.009,get,0.042,speak,0.021
