use 1987,,use rcv1,,use trc2
blossom,0.051,wander,-0.005,submit,0.047
right,0.051,crash,-0.005,interest,0.047
ray,0.051,locate,-0.005,acquire,0.047
vault,0.051,better,-0.005,revolve,0.047
middle,0.051,occupy,-0.005,furrow,0.047
infect,0.051,rice,-0.005,beckon,0.047
tip,0.051,horn,-0.005,trade,0.047
roll,0.051,warehouse,-0.005,blue,0.047
lap,0.051,tan,-0.005,seat,0.047
twinkle,0.051,branch,-0.005,condense,0.047
nail,0.051,repair,-0.005,endorse,0.047
stab,0.051,round,-0.005,milk,0.047
tread,0.051,detail,-0.005,translate,0.047
regulate,0.051,comment,-0.005,blot,0.047
recommend,0.051,carve,-0.005,heap,0.047
shudder,0.051,relieve,-0.005,discourse,0.047
contend,0.051,reopen,-0.005,execute,0.047
yield,0.051,dispatch,-0.005,chop,0.047
overflow,0.051,rifle,-0.005,lap,0.047
question,0.051,execute,-0.005,ferry,0.046
scream,0.051,stratify,-0.005,testify,0.046
compass,0.051,spill,-0.005,shuffle,0.046
ram,0.051,service,-0.005,drop,0.046
dictate,0.051,feed,-0.005,retire,0.046
attach,0.051,field,-0.005,brigade,0.046
stand,0.051,scream,-0.005,cover,0.046
judge,0.051,confront,-0.005,raid,0.046
market,0.051,respect,-0.005,transfer,0.046
release,0.051,embody,-0.005,shadow,0.046
pray,0.051,expand,-0.005,bank,0.046
call,0.051,bar,-0.005,manage,0.046
canton,0.050,scratch,-0.005,account,0.045
cock,0.050,park,-0.006,confine,0.045
fare,0.050,impoverish,-0.006,pay,0.045
seed,0.050,give,-0.006,contradict,0.045
squeeze,0.050,conflict,-0.006,smell,0.045
divine,0.050,depend,-0.006,store,0.045
survive,0.050,overflow,-0.006,indict,0.045
translate,0.050,surmise,-0.006,withdraw,0.045
wash,0.050,face,-0.006,disorder,0.045
sense,0.050,harvest,-0.006,refund,0.045
enliven,0.050,rebel,-0.006,recruit,0.045
enclose,0.050,shift,-0.006,bridge,0.045
depress,0.050,confer,-0.006,knot,0.045
martyr,0.050,mask,-0.006,sew,0.045
persist,0.050,need,-0.006,accuse,0.045
contain,0.050,crawl,-0.006,revolt,0.045
rend,0.050,restrict,-0.006,delineate,0.045
bribe,0.050,curb,-0.006,hum,0.045
mean,0.050,fuel,-0.006,lift,0.045
deplore,0.050,transpire,-0.006,strive,0.045
station,0.050,edge,-0.006,diffuse,0.045
exercise,0.050,mass,-0.006,compose,0.045
impel,0.050,denounce,-0.006,illuminate,0.045
discontent,0.050,grip,-0.006,mask,0.045
cut,0.050,grope,-0.006,handwrite,0.045
condition,0.050,port,-0.006,repress,0.045
pick,0.050,divide,-0.007,shoe,0.045
lecture,0.050,tile,-0.007,coke,0.044
blush,0.050,disgust,-0.007,dissipate,0.044
exclaim,0.050,besiege,-0.007,mingle,0.044
confer,0.050,blow,-0.007,spoil,0.044
yell,0.050,permit,-0.007,betray,0.044
sign,0.050,snake,-0.007,classify,0.044
caress,0.050,avail,-0.007,dilate,0.044
soothe,0.050,ripen,-0.007,imprison,0.044
steal,0.050,sense,-0.007,perceive,0.044
carry,0.050,deepen,-0.007,receipt,0.044
think,0.050,foster,-0.007,retreat,0.044
bother,0.050,overlook,-0.007,slow,0.044
puff,0.049,enclose,-0.007,cook,0.044
compress,0.049,burden,-0.007,quench,0.044
pet,0.049,brim,-0.007,wring,0.044
remove,0.049,heighten,-0.007,splash,0.044
fortify,0.049,reef,-0.007,solicit,0.044
foster,0.049,instruct,-0.007,roll,0.044
shelter,0.049,defray,-0.007,single,0.044
powder,0.049,glow,-0.007,announce,0.044
dispense,0.049,fool,-0.007,suck,0.044
spoil,0.049,pile,-0.007,flee,0.043
court,0.049,sojourn,-0.007,manufacture,0.043
pause,0.049,distress,-0.007,fox,0.043
face,0.049,laud,-0.007,pant,0.043
man,0.049,grudge,-0.007,hay,0.043
clean,0.049,verse,-0.007,nail,0.043
drop,0.049,spear,-0.008,boast,0.043
wonder,0.049,dazzle,-0.008,pool,0.043
auction,0.049,fortify,-0.008,rack,0.043
destine,0.049,redouble,-0.008,rend,0.043
reward,0.049,redden,-0.008,stable,0.043
incline,0.049,discourse,-0.008,prostrate,0.043
dam,0.049,usher,-0.008,adduce,0.043
realize,0.049,stipulate,-0.008,write,0.043
pain,0.049,deliver,-0.008,flank,0.043
trap,0.049,sequester,-0.008,recover,0.043
bang,0.049,frequent,-0.008,lash,0.043
paddle,0.049,fork,-0.008,mantle,0.043
live,0.049,phrase,-0.008,exalt,0.043
foot,0.049,encircle,-0.008,trample,0.043
foam,0.049,graze,-0.008,adjourn,0.043
taper,0.049,cart,-0.008,entertain,0.043
presume,0.049,will,-0.008,remainder,0.043
resume,0.049,hesitate,-0.008,madden,0.042
wait,0.049,shake,-0.008,maintain,0.042
betroth,0.049,tolerate,-0.008,smash,0.042
addict,0.049,gin,-0.008,fell,0.042
coin,0.049,stall,-0.008,recline,0.042
average,0.049,wag,-0.008,stud,0.042
iron,0.049,creep,-0.008,seed,0.042
start,0.049,recur,-0.008,tremble,0.042
dance,0.049,submerge,-0.008,excite,0.042
furrow,0.049,dive,-0.008,lurk,0.042
sip,0.049,cluster,-0.008,slat,0.042
bristle,0.049,allow,-0.008,deck,0.042
cat,0.049,beam,-0.009,cave,0.042
control,0.049,corrupt,-0.009,anchor,0.042
line,0.049,imbibe,-0.009,stray,0.042
gentle,0.048,vest,-0.009,hawk,0.042
tire,0.048,converse,-0.009,cluster,0.042
besiege,0.048,side,-0.009,lodge,0.042
lounge,0.048,hover,-0.009,strain,0.041
joke,0.048,slave,-0.009,scribe,0.041
interfere,0.048,transform,-0.009,extort,0.041
yawn,0.048,roast,-0.009,seal,0.041
inculcate,0.048,favor,-0.009,oppress,0.041
taste,0.048,stag,-0.009,chronicle,0.041
task,0.048,stroke,-0.009,tender,0.041
railroad,0.048,cool,-0.009,accrue,0.041
huddle,0.048,remove,-0.009,rent,0.041
point,0.048,tenant,-0.009,grudge,0.041
skin,0.048,flour,-0.009,saddle,0.041
pool,0.048,murder,-0.009,hesitate,0.041
tackle,0.048,bud,-0.009,par,0.041
sole,0.048,reprint,-0.009,wake,0.041
impoverish,0.048,flog,-0.009,ford,0.041
deck,0.048,overthrow,-0.009,update,0.041
update,0.048,tame,-0.009,bottom,0.041
execute,0.048,prospect,-0.009,guarantee,0.041
knight,0.048,haul,-0.009,tire,0.041
prolong,0.048,forge,-0.009,rebel,0.041
surpass,0.048,chronicle,-0.009,collapse,0.041
heave,0.048,bread,-0.009,hook,0.041
bet,0.048,shower,-0.009,test,0.040
stock,0.048,retire,-0.009,rejoin,0.040
disband,0.048,greet,-0.009,crack,0.040
chain,0.048,react,-0.009,assail,0.040
dislike,0.048,incline,-0.009,curb,0.040
poke,0.048,complicate,-0.009,flare,0.040
read,0.048,supply,-0.009,exterminate,0.040
abstract,0.048,squire,-0.009,elect,0.040
scour,0.048,pal,-0.009,scratch,0.040
overwhelm,0.048,trample,-0.009,dazzle,0.040
revolve,0.048,pervert,-0.009,spell,0.040
better,0.048,hound,-0.009,hug,0.040
idle,0.048,repose,-0.009,curtain,0.040
confine,0.048,lean,-0.010,kneel,0.040
dash,0.048,piece,-0.010,brew,0.040
test,0.048,value,-0.010,grind,0.039
fling,0.048,flow,-0.010,flame,0.039
eagle,0.047,wash,-0.010,refresh,0.039
edge,0.047,repel,-0.010,fuel,0.039
confide,0.047,condense,-0.010,separate,0.039
chime,0.047,flap,-0.010,mature,0.039
certify,0.047,tax,-0.010,escape,0.039
languish,0.047,circle,-0.010,repose,0.039
rake,0.047,cancel,-0.010,box,0.039
queen,0.047,bed,-0.010,ban,0.039
scout,0.047,back,-0.010,crow,0.039
sound,0.047,wipe,-0.010,intensify,0.039
bear,0.047,mean,-0.010,preside,0.039
coat,0.047,fret,-0.010,rattle,0.039
decay,0.047,pry,-0.010,snow,0.039
writhe,0.047,afflict,-0.010,ice,0.039
record,0.047,alarm,-0.010,horse,0.039
profess,0.047,correspond,-0.010,pocket,0.039
risk,0.047,hiss,-0.011,abandon,0.039
repel,0.047,impart,-0.011,gravel,0.038
lumber,0.047,whisper,-0.011,waft,0.038
emit,0.047,predominate,-0.011,mail,0.038
lick,0.047,bag,-0.011,silver,0.038
kiss,0.047,skirt,-0.011,ship,0.038
fade,0.047,lay,-0.011,blush,0.038
bin,0.047,slash,-0.011,witness,0.038
freeze,0.047,float,-0.011,trademark,0.038
explode,0.047,forbid,-0.011,lose,0.038
horse,0.047,translate,-0.011,deny,0.038
soak,0.047,pain,-0.011,specify,0.038
cloud,0.047,crush,-0.011,cancel,0.038
irritate,0.047,append,-0.011,extract,0.038
alter,0.047,wax,-0.011,jar,0.038
divide,0.047,pant,-0.011,pin,0.038
solve,0.047,tin,-0.011,wrinkle,0.038
loosen,0.047,fix,-0.011,reef,0.038
lash,0.047,shuffle,-0.011,fire,0.038
rebel,0.047,gap,-0.011,crook,0.038
consume,0.047,fare,-0.011,vindicate,0.038
increase,0.047,martyr,-0.011,bronze,0.037
grass,0.047,choke,-0.011,plot,0.037
state,0.047,addict,-0.011,sob,0.037
chant,0.047,clean,-0.011,chew,0.037
curb,0.047,retort,-0.011,ground,0.037
diffuse,0.047,refresh,-0.011,spill,0.037
blacken,0.047,figure,-0.011,pollute,0.037
inflict,0.047,skim,-0.012,tuck,0.037
award,0.047,shoe,-0.012,acquaint,0.037
thread,0.047,complete,-0.012,damp,0.037
forbear,0.046,disagree,-0.012,supply,0.037
pearl,0.046,blind,-0.012,skirt,0.037
bid,0.046,digest,-0.012,compound,0.037
end,0.046,tighten,-0.012,toss,0.037
loom,0.046,fry,-0.012,rag,0.037
quarter,0.046,size,-0.012,claim,0.037
veil,0.046,hollow,-0.012,quote,0.037
shallow,0.046,pinch,-0.012,beard,0.037
peg,0.046,mourn,-0.012,abstain,0.036
spur,0.046,publish,-0.012,comfort,0.036
cancel,0.046,surmount,-0.012,widow,0.036
vacate,0.046,seem,-0.012,disable,0.036
favor,0.046,swing,-0.012,bowl,0.036
tack,0.046,glaze,-0.012,quiver,0.036
beget,0.046,winter,-0.012,blend,0.036
evolve,0.046,frighten,-0.012,fail,0.036
field,0.046,thatch,-0.012,sparkle,0.036
schedule,0.046,gain,-0.012,secure,0.036
deafen,0.046,tide,-0.012,adapt,0.036
recall,0.046,embarrass,-0.012,wave,0.036
wander,0.046,stoke,-0.012,thrash,0.036
crown,0.046,wring,-0.013,indent,0.036
approve,0.046,rebuild,-0.013,venture,0.036
till,0.046,own,-0.013,convert,0.036
rain,0.046,roof,-0.013,recite,0.036
sever,0.046,emerge,-0.013,elude,0.035
coil,0.046,resent,-0.013,characterize,0.035
entangle,0.046,gun,-0.013,pull,0.035
brown,0.046,rave,-0.013,roof,0.035
distract,0.046,cave,-0.013,cruise,0.035
incorporate,0.046,shock,-0.013,preclude,0.035
feast,0.046,feast,-0.013,hiss,0.035
fill,0.046,angle,-0.013,affix,0.035
troop,0.046,absorb,-0.013,swell,0.035
disengage,0.046,cut,-0.013,evolve,0.035
proclaim,0.046,sharpen,-0.013,negotiate,0.035
officiate,0.046,ferry,-0.013,subdivide,0.035
scorch,0.046,poise,-0.013,bite,0.035
slat,0.046,yawn,-0.013,rise,0.034
retail,0.046,bank,-0.013,break,0.034
conspire,0.046,hide,-0.013,swim,0.034
invade,0.046,step,-0.013,buck,0.034
figure,0.046,cloud,-0.013,suffer,0.034
report,0.046,invoke,-0.013,admit,0.034
brighten,0.046,understand,-0.013,digest,0.034
advise,0.045,precipitate,-0.013,murmur,0.034
beckon,0.045,worsen,-0.013,flash,0.034
trip,0.045,deploy,-0.013,lend,0.034
initiate,0.045,profit,-0.013,park,0.034
defy,0.045,fashion,-0.013,predominate,0.034
lament,0.045,adduce,-0.013,calculate,0.034
pale,0.045,store,-0.013,lave,0.034
flame,0.045,swear,-0.014,dismay,0.034
betray,0.045,enslave,-0.014,dance,0.034
overrun,0.045,withdraw,-0.014,agree,0.034
govern,0.045,brood,-0.014,spear,0.033
admit,0.045,strip,-0.014,ting,0.033
widen,0.045,attach,-0.014,conceive,0.033
contract,0.045,weigh,-0.014,plaster,0.033
bank,0.045,patronize,-0.014,delay,0.033
shoulder,0.045,stab,-0.014,complete,0.033
waft,0.045,stamp,-0.014,sit,0.033
change,0.045,auction,-0.014,smooth,0.033
step,0.045,abate,-0.014,gild,0.033
snatch,0.045,char,-0.014,totter,0.033
free,0.045,lag,-0.014,vote,0.033
cripple,0.045,exploit,-0.014,repeat,0.033
castle,0.045,adapt,-0.014,droop,0.033
murmur,0.045,ebb,-0.014,duck,0.033
club,0.045,confide,-0.014,choke,0.033
string,0.045,lengthen,-0.014,tack,0.033
contrast,0.045,spell,-0.014,tear,0.033
descend,0.045,augment,-0.014,press,0.033
oust,0.044,charm,-0.014,term,0.033
thwart,0.044,dun,-0.014,impel,0.032
continue,0.044,double,-0.015,draw,0.032
pole,0.044,remain,-0.015,draft,0.032
creep,0.044,abstract,-0.015,drain,0.032
advantage,0.044,lounge,-0.015,stamp,0.032
tour,0.044,free,-0.015,discount,0.032
bird,0.044,displease,-0.015,predict,0.032
search,0.044,assess,-0.015,wink,0.032
wind,0.044,elicit,-0.015,refrain,0.032
dot,0.044,refine,-0.015,dignify,0.031
hum,0.044,assert,-0.015,freight,0.031
conceal,0.044,designate,-0.015,ply,0.031
spear,0.044,bask,-0.015,impregnate,0.031
blue,0.044,gentle,-0.015,constitute,0.031
hay,0.044,fancy,-0.015,fold,0.031
transport,0.044,stain,-0.015,soar,0.031
click,0.044,gallop,-0.015,lean,0.031
garrison,0.044,ding,-0.015,bed,0.031
vary,0.044,beget,-0.015,mistake,0.031
gamble,0.044,dwell,-0.015,transact,0.031
assail,0.044,drill,-0.015,comment,0.030
conceive,0.044,cat,-0.016,invite,0.030
menace,0.044,bid,-0.016,puff,0.030
ring,0.044,sneer,-0.016,drink,0.030
sour,0.044,rack,-0.016,hole,0.030
force,0.044,station,-0.016,crush,0.030
stroll,0.044,tack,-0.016,groan,0.030
deceive,0.044,retail,-0.016,tie,0.030
ornament,0.044,provoke,-0.016,lamb,0.030
pump,0.044,exert,-0.016,approve,0.029
dissent,0.044,withhold,-0.016,sentence,0.029
ford,0.043,crave,-0.016,pervert,0.029
alienate,0.043,reek,-0.016,intoxicate,0.029
rub,0.043,presume,-0.016,screw,0.029
concede,0.043,involve,-0.016,envelop,0.029
sack,0.043,chafe,-0.016,middle,0.029
append,0.043,waft,-0.016,put,0.029
stifle,0.043,pocket,-0.016,muster,0.029
wine,0.043,sustain,-0.016,gun,0.029
sequester,0.043,crow,-0.016,dilapidate,0.029
hamper,0.043,gamble,-0.016,martyr,0.029
rope,0.043,shape,-0.016,devastate,0.029
land,0.043,intercept,-0.016,hamper,0.028
seem,0.043,flit,-0.016,nestle,0.028
lengthen,0.043,substitute,-0.016,dislike,0.028
review,0.043,trace,-0.016,conflict,0.028
desert,0.043,expel,-0.016,accept,0.028
puzzle,0.043,magnify,-0.016,rhyme,0.028
poll,0.043,conceal,-0.016,glass,0.028
assess,0.043,obey,-0.016,string,0.028
contribute,0.043,contract,-0.016,alight,0.028
plat,0.043,heap,-0.016,writhe,0.028
crouch,0.043,chew,-0.017,conceal,0.028
fort,0.043,rub,-0.017,intrude,0.028
gallop,0.043,clatter,-0.017,powder,0.028
regard,0.043,arch,-0.017,starve,0.028
refrain,0.043,torture,-0.017,brush,0.027
persuade,0.043,squeeze,-0.017,compare,0.027
proportion,0.043,divine,-0.017,sole,0.027
damp,0.043,buck,-0.017,feather,0.027
widow,0.043,loosen,-0.017,din,0.027
rejoin,0.043,blot,-0.017,condescend,0.027
pass,0.043,corner,-0.017,expose,0.027
key,0.043,rename,-0.017,conclude,0.027
ascertain,0.043,grasp,-0.017,intercept,0.027
infest,0.043,peg,-0.017,pump,0.027
marvel,0.043,exhaust,-0.017,mass,0.027
knit,0.043,clear,-0.017,concede,0.027
throw,0.042,recede,-0.017,taper,0.027
war,0.042,brief,-0.017,dine,0.027
cabin,0.042,distrust,-0.017,refer,0.027
deepen,0.042,target,-0.017,soften,0.026
stress,0.042,terrify,-0.017,revel,0.026
excel,0.042,stride,-0.017,throb,0.026
plant,0.042,average,-0.017,smoke,0.026
relieve,0.042,quarry,-0.017,chalk,0.026
bake,0.042,bleach,-0.017,pierce,0.026
procure,0.042,calm,-0.017,squat,0.026
pinch,0.042,pluck,-0.018,poke,0.026
smelt,0.042,extract,-0.018,tip,0.026
shake,0.042,fend,-0.018,bosom,0.026
count,0.042,suspect,-0.018,falter,0.026
acquire,0.042,arise,-0.018,pursue,0.026
row,0.042,refund,-0.018,moderate,0.026
recess,0.042,vindicate,-0.018,carve,0.026
bottle,0.042,risk,-0.018,risk,0.026
doctor,0.042,loom,-0.018,disappear,0.025
stoop,0.042,anoint,-0.018,gate,0.025
kill,0.042,boom,-0.018,overpower,0.025
flatten,0.042,number,-0.018,rice,0.025
stun,0.042,plaster,-0.018,taste,0.025
riot,0.042,affirm,-0.018,embody,0.025
revoke,0.042,ban,-0.018,spin,0.025
tender,0.042,habit,-0.018,crackle,0.025
down,0.042,grapple,-0.018,clap,0.025
pound,0.042,adhere,-0.018,eclipse,0.025
drill,0.042,peal,-0.018,establish,0.025
impair,0.042,postpone,-0.018,hide,0.025
stone,0.042,spar,-0.018,acquit,0.025
knock,0.041,sole,-0.018,glaze,0.025
condense,0.041,reform,-0.018,assay,0.025
shrink,0.041,railroad,-0.018,throw,0.025
devastate,0.041,marvel,-0.018,thin,0.025
yellow,0.041,shadow,-0.018,oust,0.025
sail,0.041,evacuate,-0.018,argue,0.025
talk,0.041,hawk,-0.019,close,0.025
avoid,0.041,surpass,-0.019,resume,0.025
clamber,0.041,consign,-0.019,insist,0.024
inform,0.041,frost,-0.019,murder,0.024
die,0.041,tremble,-0.019,summit,0.024
chill,0.041,boot,-0.019,stick,0.024
protest,0.041,scar,-0.019,wipe,0.024
thirst,0.041,hedge,-0.019,sacrifice,0.024
stoke,0.041,prolong,-0.019,shave,0.024
tuck,0.041,shove,-0.019,gag,0.024
camp,0.041,earth,-0.019,tail,0.024
wrap,0.041,jar,-0.019,graze,0.024
winter,0.041,pump,-0.019,scan,0.024
conform,0.041,dismiss,-0.019,enliven,0.024
buoy,0.041,moderate,-0.020,deduce,0.024
amend,0.041,grind,-0.020,sip,0.024
ferry,0.041,wreathe,-0.020,influence,0.024
affix,0.041,canton,-0.020,sharpen,0.024
air,0.041,soften,-0.020,disarm,0.023
even,0.040,roar,-0.020,credit,0.023
redouble,0.040,transfer,-0.020,bark,0.023
hatch,0.040,impact,-0.020,exploit,0.023
restrain,0.040,conclude,-0.020,base,0.023
nestle,0.040,dilapidate,-0.020,resent,0.023
drip,0.040,throne,-0.020,enclose,0.023
recite,0.040,devise,-0.020,gamble,0.023
permit,0.040,convulse,-0.020,inherit,0.023
sink,0.040,seel,-0.020,grieve,0.023
concentrate,0.040,boost,-0.020,anoint,0.023
mangle,0.040,estimate,-0.020,tin,0.023
adapt,0.040,answer,-0.020,estimate,0.022
engrave,0.040,bewilder,-0.020,unload,0.022
lend,0.040,stop,-0.020,convene,0.022
produce,0.040,emigrate,-0.020,bell,0.022
career,0.040,offset,-0.020,bear,0.022
result,0.040,enlarge,-0.020,attach,0.022
flag,0.040,overwhelm,-0.020,tongue,0.022
gun,0.040,shop,-0.020,braid,0.022
occur,0.040,tender,-0.020,eject,0.022
defend,0.040,agitate,-0.020,glitter,0.022
enable,0.040,dart,-0.021,apply,0.022
duck,0.040,brace,-0.021,shake,0.022
quarry,0.040,intrude,-0.021,devolve,0.022
slash,0.040,shanghai,-0.021,avoid,0.021
clear,0.040,reinforce,-0.021,snatch,0.021
spot,0.040,scatter,-0.021,abuse,0.021
block,0.040,mangle,-0.021,neglect,0.021
supplant,0.040,influence,-0.021,ransom,0.021
evacuate,0.040,buoy,-0.021,insert,0.021
tighten,0.040,excuse,-0.021,dive,0.021
discourse,0.039,lace,-0.021,hush,0.021
depart,0.039,hem,-0.021,stroke,0.021
quote,0.039,ennoble,-0.021,redeem,0.021
brush,0.039,entangle,-0.021,highlight,0.021
fry,0.039,obstruct,-0.021,solve,0.021
fly,0.039,cram,-0.021,indicate,0.021
cannon,0.039,gild,-0.021,fly,0.021
beg,0.039,lock,-0.021,caress,0.021
stir,0.039,bruise,-0.021,engrave,0.021
term,0.039,close,-0.021,depose,0.021
glass,0.039,inform,-0.021,speculate,0.021
plate,0.039,bubble,-0.021,bruise,0.021
stick,0.039,brew,-0.021,stain,0.021
petition,0.039,engender,-0.021,smite,0.021
whip,0.039,sin,-0.021,cannon,0.021
reassure,0.039,reject,-0.021,smelt,0.021
address,0.039,disengage,-0.021,twist,0.020
bottom,0.038,reason,-0.021,abhor,0.020
shuffle,0.038,persuade,-0.021,silence,0.020
throne,0.038,ply,-0.022,cram,0.020
intoxicate,0.038,extricate,-0.022,harden,0.020
bite,0.038,indicate,-0.022,rustle,0.020
cotton,0.038,baffle,-0.022,card,0.020
tap,0.038,slat,-0.022,reform,0.020
rivet,0.038,condemn,-0.022,row,0.020
compel,0.038,steal,-0.022,clatter,0.020
dive,0.038,thunder,-0.022,assent,0.020
deform,0.038,scourge,-0.022,demolish,0.020
command,0.038,reinstate,-0.022,bounce,0.020
shriek,0.038,circulate,-0.022,recount,0.019
adopt,0.038,dictate,-0.022,rub,0.019
recline,0.038,chalk,-0.022,bang,0.019
overturn,0.038,flush,-0.022,diminish,0.019
nurse,0.038,structure,-0.022,enlarge,0.019
vex,0.038,empower,-0.022,drip,0.019
crow,0.038,shame,-0.022,allege,0.019
brace,0.038,hurt,-0.023,shill,0.019
roar,0.038,conform,-0.023,survive,0.019
shoe,0.038,pin,-0.023,adjust,0.018
mail,0.038,sigh,-0.023,fade,0.018
chamber,0.038,lie,-0.023,paddle,0.018
clap,0.038,kill,-0.023,foam,0.018
caution,0.037,chop,-0.023,bin,0.018
sentence,0.037,pink,-0.023,restrict,0.018
wade,0.037,indent,-0.023,throng,0.018
contradict,0.037,bat,-0.023,appeal,0.018
tat,0.037,disappear,-0.023,paint,0.018
stall,0.037,multiply,-0.023,sack,0.018
spar,0.037,pitch,-0.023,tow,0.018
entitle,0.037,thin,-0.023,hem,0.017
dust,0.037,trouble,-0.023,flap,0.017
debase,0.037,middle,-0.023,precede,0.017
salute,0.037,dig,-0.023,irrigate,0.017
indent,0.037,scheme,-0.023,stab,0.017
export,0.037,subdivide,-0.023,impact,0.017
tile,0.037,specify,-0.023,stretch,0.017
baptize,0.037,shipwreck,-0.024,lengthen,0.017
shop,0.037,madden,-0.024,curl,0.017
shill,0.037,vex,-0.024,stone,0.017
overthrow,0.037,chill,-0.024,bottle,0.017
correct,0.037,rid,-0.024,review,0.017
compose,0.037,bound,-0.024,mud,0.017
reason,0.037,impair,-0.024,wrestle,0.017
shipwreck,0.036,endow,-0.024,deserve,0.017
shave,0.036,finance,-0.024,dun,0.017
penetrate,0.036,equal,-0.024,cost,0.017
snake,0.036,reappear,-0.024,hurl,0.017
wreathe,0.036,educate,-0.024,pitch,0.017
repose,0.036,penetrate,-0.024,subscribe,0.016
poise,0.036,scan,-0.024,invest,0.016
interpret,0.036,wail,-0.024,elbow,0.016
single,0.036,hint,-0.024,crown,0.016
ache,0.036,rout,-0.024,beset,0.016
fuse,0.036,perfume,-0.024,suppress,0.016
fell,0.036,project,-0.024,shipwreck,0.016
wrestle,0.036,administer,-0.024,brim,0.015
miss,0.036,vary,-0.024,savage,0.015
gag,0.036,schedule,-0.025,deprecate,0.015
book,0.036,copper,-0.025,gratify,0.015
forgive,0.036,sprinkle,-0.025,clasp,0.015
go,0.036,reward,-0.025,strip,0.015
hollow,0.036,incite,-0.025,slide,0.015
bag,0.036,contain,-0.025,lumber,0.015
brew,0.036,key,-0.025,knit,0.015
smite,0.036,dot,-0.025,repent,0.015
preserve,0.036,attack,-0.025,excel,0.015
gore,0.036,skip,-0.025,bar,0.015
assay,0.036,emanate,-0.025,multiply,0.014
hesitate,0.036,condition,-0.025,dispose,0.014
convict,0.036,bother,-0.025,spar,0.014
inflame,0.035,eagle,-0.025,stress,0.014
earth,0.035,breast,-0.025,heighten,0.014
harass,0.035,dispose,-0.025,intimate,0.014
bleach,0.035,whiten,-0.025,chafe,0.014
acquit,0.035,emit,-0.025,molest,0.014
rob,0.035,inscribe,-0.025,gain,0.014
crook,0.035,efface,-0.025,grumble,0.014
roof,0.035,shore,-0.025,dedicate,0.014
refine,0.035,dim,-0.025,forecast,0.014
rage,0.035,damp,-0.025,rob,0.014
magnify,0.035,smoke,-0.025,devour,0.013
understand,0.035,vacate,-0.025,administer,0.013
coke,0.035,crook,-0.025,soak,0.013
surface,0.035,disarm,-0.025,stir,0.013
message,0.035,proceed,-0.025,flutter,0.013
band,0.035,coke,-0.025,precipitate,0.013
glare,0.035,strike,-0.025,hollow,0.013
subject,0.035,haunt,-0.026,shriek,0.012
bush,0.035,infect,-0.026,insure,0.012
ding,0.035,dissent,-0.026,muffle,0.012
braid,0.035,decrease,-0.026,mislead,0.012
lock,0.035,smother,-0.026,coin,0.012
err,0.035,forecast,-0.026,lock,0.012
stuff,0.035,gear,-0.026,correspond,0.012
flood,0.035,tat,-0.026,skim,0.012
bat,0.035,exchange,-0.026,deafen,0.012
cleave,0.035,worst,-0.026,divorce,0.012
horn,0.035,amount,-0.026,fling,0.012
travel,0.035,anticipate,-0.026,lie,0.012
designate,0.035,tarry,-0.026,calm,0.012
retard,0.035,gravel,-0.026,baffle,0.012
dishearten,0.035,throw,-0.026,tramp,0.012
pink,0.035,dip,-0.026,dwindle,0.012
sex,0.035,drown,-0.026,ejaculate,0.011
insist,0.034,scotch,-0.026,boom,0.011
hook,0.034,throng,-0.026,affirm,0.011
worst,0.034,hamper,-0.026,lay,0.011
drag,0.034,terrace,-0.026,reclaim,0.011
boil,0.034,grain,-0.026,coal,0.011
pervert,0.034,assure,-0.026,sweep,0.011
upset,0.034,cripple,-0.026,bread,0.011
bud,0.034,stable,-0.026,shiver,0.010
shift,0.034,destine,-0.026,coil,0.010
sigh,0.034,slacken,-0.026,flicker,0.010
sharpen,0.034,advantage,-0.026,trim,0.010
define,0.034,enable,-0.026,rat,0.010
moon,0.034,woo,-0.026,abstract,0.010
ripen,0.034,accurse,-0.027,whistle,0.010
furnish,0.034,stoop,-0.027,compass,0.009
copper,0.034,incur,-0.027,sour,0.009
cook,0.034,trust,-0.027,polish,0.009
muffle,0.034,declare,-0.027,shelve,0.009
dun,0.034,fish,-0.027,grain,0.009
lord,0.034,drop,-0.027,circulate,0.009
vest,0.034,puzzle,-0.027,clash,0.009
refund,0.034,seclude,-0.027,whip,0.009
hate,0.034,stagger,-0.027,squire,0.009
calm,0.034,elate,-0.027,restore,0.009
shell,0.034,discover,-0.027,gin,0.008
name,0.034,sup,-0.027,proceed,0.008
sit,0.034,impede,-0.027,dim,0.008
retake,0.034,wrest,-0.027,increase,0.008
grope,0.034,border,-0.027,flog,0.008
run,0.033,sadden,-0.027,nourish,0.008
awaken,0.033,aggregate,-0.027,shallow,0.008
worsen,0.033,mitigate,-0.028,vacate,0.008
meddle,0.033,smelt,-0.028,spike,0.008
repeat,0.033,flame,-0.028,halt,0.007
devolve,0.033,impel,-0.028,surmount,0.007
sport,0.033,cock,-0.028,emit,0.007
delineate,0.033,foul,-0.028,infect,0.007
disable,0.033,quicken,-0.028,loosen,0.007
explain,0.033,lull,-0.028,reprint,0.007
heal,0.033,heave,-0.028,interfere,0.007
park,0.033,ripple,-0.028,illustrate,0.007
rice,0.033,bin,-0.028,print,0.007
pop,0.033,contradict,-0.028,swallow,0.007
ban,0.033,disable,-0.028,contract,0.006
establish,0.033,down,-0.028,tap,0.006
kindle,0.033,bury,-0.028,discontinue,0.006
